Terminos_GO	Frecuencia	GO_name	GO_fullname
GO:0006207	2	'de novo' pyrimidine nucleobase biosynthetic process	GO:0006207_'de novo' pyrimidine nucleobase biosynthetic process
GO:0006281	2	DNA repair	GO:0006281_DNA repair
GO:0006357	2	regulation of transcription by RNA polymerase II	GO:0006357_regulation of transcription by RNA polymerase II
GO:0006508	2	proteolysis	GO:0006508_proteolysis
GO:0006537	2	glutamate biosynthetic process	GO:0006537_glutamate biosynthetic process
GO:0006564	2	L-serine biosynthetic process	GO:0006564_L-serine biosynthetic process
GO:0006579	2	amino-acid betaine catabolic process	GO:0006579_amino-acid betaine catabolic process
GO:0006611	2	protein export from nucleus	GO:0006611_protein export from nucleus
GO:0006631	2	fatty acid metabolic process	GO:0006631_fatty acid metabolic process
GO:0006633	2	fatty acid biosynthetic process	GO:0006633_fatty acid biosynthetic process
GO:0006636	2	unsaturated fatty acid biosynthetic process	GO:0006636_unsaturated fatty acid biosynthetic process
GO:0006637	2	acyl-CoA metabolic process	GO:0006637_acyl-CoA metabolic process
GO:0006646	2	phosphatidylethanolamine biosynthetic process	GO:0006646_phosphatidylethanolamine biosynthetic process
GO:0006869	2	lipid transport	GO:0006869_lipid transport
GO:0006913	2	nucleocytoplasmic transport	GO:0006913_nucleocytoplasmic transport
GO:0006974	2	DNA damage response	GO:0006974_DNA damage response
GO:0007283	2	spermatogenesis	GO:0007283_spermatogenesis
GO:0007623	2	circadian rhythm	GO:0007623_circadian rhythm
GO:0008017	2	microtubule binding	GO:0008017_microtubule binding
GO:0008168	2	methyltransferase activity	GO:0008168_methyltransferase activity
GO:0008285	2	negative regulation of cell population proliferation	GO:0008285_negative regulation of cell population proliferation
GO:0008536	2	NA	GO:0008536_NA
GO:0008610	2	lipid biosynthetic process	GO:0008610_lipid biosynthetic process
GO:0009086	2	methionine biosynthetic process	GO:0009086_methionine biosynthetic process
GO:0009501	2	amyloplast	GO:0009501_amyloplast
GO:0009555	2	pollen development	GO:0009555_pollen development
GO:0009617	2	response to bacterium	GO:0009617_response to bacterium
GO:0009636	2	response to toxic substance	GO:0009636_response to toxic substance
GO:0009725	2	response to hormone	GO:0009725_response to hormone
GO:0009826	2	unidimensional cell growth	GO:0009826_unidimensional cell growth
GO:0009860	2	pollen tube growth	GO:0009860_pollen tube growth
GO:0009881	2	photoreceptor activity	GO:0009881_photoreceptor activity
GO:0010183	2	pollen tube guidance	GO:0010183_pollen tube guidance
GO:0010594	2	regulation of endothelial cell migration	GO:0010594_regulation of endothelial cell migration
GO:0015031	2	protein transport	GO:0015031_protein transport
GO:0016290	2	obsolete palmitoyl-CoA hydrolase activity	GO:0016290_obsolete palmitoyl-CoA hydrolase activity
GO:0016363	2	nuclear matrix	GO:0016363_nuclear matrix
GO:0016595	2	glutamate binding	GO:0016595_glutamate binding
GO:0016604	2	nuclear body	GO:0016604_nuclear body
GO:0016747	2	acyltransferase activity, transferring groups other than amino-acyl groups	GO:0016747_acyltransferase activity, transferring groups other than amino-acyl groups
GO:0018298	2	obsolete protein-chromophore linkage	GO:0018298_obsolete protein-chromophore linkage
GO:0018345	2	protein palmitoylation	GO:0018345_protein palmitoylation
GO:0019432	2	triglyceride biosynthetic process	GO:0019432_triglyceride biosynthetic process
GO:0019676	2	ammonia assimilation cycle	GO:0019676_ammonia assimilation cycle
GO:0019706	2	protein-cysteine S-palmitoyltransferase activity	GO:0019706_protein-cysteine S-palmitoyltransferase activity
GO:0019901	2	protein kinase binding	GO:0019901_protein kinase binding
GO:0019904	2	protein domain specific binding	GO:0019904_protein domain specific binding
GO:0020037	2	heme binding	GO:0020037_heme binding
GO:0031090	2	organelle membrane	GO:0031090_organelle membrane
GO:0031305	2	obsolete integral component of mitochondrial inner membrane	GO:0031305_obsolete integral component of mitochondrial inner membrane
GO:0031397	2	negative regulation of protein ubiquitination	GO:0031397_negative regulation of protein ubiquitination
GO:0031402	2	sodium ion binding	GO:0031402_sodium ion binding
GO:0031514	2	motile cilium	GO:0031514_motile cilium
GO:0031667	2	response to nutrient levels	GO:0031667_response to nutrient levels
GO:0031965	2	nuclear membrane	GO:0031965_nuclear membrane
GO:0031982	2	vesicle	GO:0031982_vesicle
GO:0032496	2	response to lipopolysaccharide	GO:0032496_response to lipopolysaccharide
GO:0032922	2	circadian regulation of gene expression	GO:0032922_circadian regulation of gene expression
GO:0033762	2	response to glucagon	GO:0033762_response to glucagon
GO:0034599	2	cellular response to oxidative stress	GO:0034599_cellular response to oxidative stress
GO:0042425	2	choline biosynthetic process	GO:0042425_choline biosynthetic process
GO:0042754	2	negative regulation of circadian rhythm	GO:0042754_negative regulation of circadian rhythm
GO:0042760	2	very long-chain fatty acid catabolic process	GO:0042760_very long-chain fatty acid catabolic process
GO:0043153	2	entrainment of circadian clock by photoperiod	GO:0043153_entrainment of circadian clock by photoperiod
GO:0044212	2	NA	GO:0044212_NA
GO:0045087	2	innate immune response	GO:0045087_innate immune response
GO:0045121	2	membrane raft	GO:0045121_membrane raft
GO:0045471	2	response to ethanol	GO:0045471_response to ethanol
GO:0045893	2	positive regulation of DNA-templated transcription	GO:0045893_positive regulation of DNA-templated transcription
GO:0045910	2	negative regulation of DNA recombination	GO:0045910_negative regulation of DNA recombination
GO:0046825	2	regulation of protein export from nucleus	GO:0046825_regulation of protein export from nucleus
GO:0047150	2	betaine-homocysteine S-methyltransferase activity	GO:0047150_betaine-homocysteine S-methyltransferase activity
GO:0047617	2	fatty acyl-CoA hydrolase activity	GO:0047617_fatty acyl-CoA hydrolase activity
GO:0048037	2	obsolete cofactor binding	GO:0048037_obsolete cofactor binding
GO:0048528	2	post-embryonic root development	GO:0048528_post-embryonic root development
GO:0050796	2	regulation of insulin secretion	GO:0050796_regulation of insulin secretion
GO:0051262	2	protein tetramerization	GO:0051262_protein tetramerization
GO:0051968	2	positive regulation of synaptic transmission, glutamatergic	GO:0051968_positive regulation of synaptic transmission, glutamatergic
GO:0052689	2	carboxylic ester hydrolase activity	GO:0052689_carboxylic ester hydrolase activity
GO:0055088	2	lipid homeostasis	GO:0055088_lipid homeostasis
GO:0070365	2	hepatocyte differentiation	GO:0070365_hepatocyte differentiation
GO:0070409	2	carbamoyl phosphate biosynthetic process	GO:0070409_carbamoyl phosphate biosynthetic process
GO:0070849	2	response to epidermal growth factor	GO:0070849_response to epidermal growth factor
GO:0071320	2	cellular response to cAMP	GO:0071320_cellular response to cAMP
GO:0102991	2	obsolete myristoyl-CoA hydrolase activity	GO:0102991_obsolete myristoyl-CoA hydrolase activity
GO:1901653	2	cellular response to peptide	GO:1901653_cellular response to peptide
GO:1903670	2	regulation of sprouting angiogenesis	GO:1903670_regulation of sprouting angiogenesis
GO:1903718	2	NA	GO:1903718_NA
GO:2000323	2	negative regulation of nuclear receptor-mediated glucocorticoid signaling pathway	GO:2000323_negative regulation of nuclear receptor-mediated glucocorticoid signaling pathway
GO:0000054	1	ribosomal subunit export from nucleus	GO:0000054_ribosomal subunit export from nucleus
GO:0000083	1	obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle	GO:0000083_obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000086	1	G2/M transition of mitotic cell cycle	GO:0000086_G2/M transition of mitotic cell cycle
GO:0000139	1	Golgi membrane	GO:0000139_Golgi membrane
GO:0000151	1	ubiquitin ligase complex	GO:0000151_ubiquitin ligase complex
GO:0000164	1	protein phosphatase type 1 complex	GO:0000164_protein phosphatase type 1 complex
GO:0000166	1	nucleotide binding	GO:0000166_nucleotide binding
GO:0000278	1	mitotic cell cycle	GO:0000278_mitotic cell cycle
GO:0000470	1	maturation of LSU-rRNA	GO:0000470_maturation of LSU-rRNA
GO:0000702	1	oxidized base lesion DNA N-glycosylase activity	GO:0000702_oxidized base lesion DNA N-glycosylase activity
GO:0000773	1	phosphatidyl-N-methylethanolamine N-methyltransferase activity	GO:0000773_phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000776	1	kinetochore	GO:0000776_kinetochore
GO:0000786	1	nucleosome	GO:0000786_nucleosome
GO:0000790	1	NA	GO:0000790_NA
GO:0000976	1	transcription cis-regulatory region binding	GO:0000976_transcription cis-regulatory region binding
GO:0000977	1	RNA polymerase II transcription regulatory region sequence-specific DNA binding	GO:0000977_RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0001030	1	NA	GO:0001030_NA
GO:0001031	1	NA	GO:0001031_NA
GO:0001032	1	NA	GO:0001032_NA
GO:0001046	1	core promoter sequence-specific DNA binding	GO:0001046_core promoter sequence-specific DNA binding
GO:0001156	1	TFIIIC-class transcription factor complex binding	GO:0001156_TFIIIC-class transcription factor complex binding
GO:0001501	1	skeletal system development	GO:0001501_skeletal system development
GO:0001541	1	ovarian follicle development	GO:0001541_ovarian follicle development
GO:0001558	1	regulation of cell growth	GO:0001558_regulation of cell growth
GO:0001669	1	acrosomal vesicle	GO:0001669_acrosomal vesicle
GO:0001701	1	in utero embryonic development	GO:0001701_in utero embryonic development
GO:0001746	1	Bolwig's organ morphogenesis	GO:0001746_Bolwig's organ morphogenesis
GO:0001889	1	liver development	GO:0001889_liver development
GO:0001932	1	regulation of protein phosphorylation	GO:0001932_regulation of protein phosphorylation
GO:0001938	1	positive regulation of endothelial cell proliferation	GO:0001938_positive regulation of endothelial cell proliferation
GO:0001959	1	regulation of cytokine-mediated signaling pathway	GO:0001959_regulation of cytokine-mediated signaling pathway
GO:0002181	1	cytoplasmic translation	GO:0002181_cytoplasmic translation
GO:0002244	1	hematopoietic progenitor cell differentiation	GO:0002244_hematopoietic progenitor cell differentiation
GO:0002385	1	mucosal immune response	GO:0002385_mucosal immune response
GO:0002526	1	acute inflammatory response	GO:0002526_acute inflammatory response
GO:0002540	1	leukotriene production involved in inflammatory response	GO:0002540_leukotriene production involved in inflammatory response
GO:0002755	1	MyD88-dependent toll-like receptor signaling pathway	GO:0002755_MyD88-dependent toll-like receptor signaling pathway
GO:0003684	1	damaged DNA binding	GO:0003684_damaged DNA binding
GO:0003690	1	double-stranded DNA binding	GO:0003690_double-stranded DNA binding
GO:0003707	1	nuclear steroid receptor activity	GO:0003707_nuclear steroid receptor activity
GO:0003712	1	transcription coregulator activity	GO:0003712_transcription coregulator activity
GO:0003777	1	microtubule motor activity	GO:0003777_microtubule motor activity
GO:0003779	1	actin binding	GO:0003779_actin binding
GO:0003824	1	catalytic activity	GO:0003824_catalytic activity
GO:0003846	1	2-acylglycerol O-acyltransferase activity	GO:0003846_2-acylglycerol O-acyltransferase activity
GO:0003924	1	GTPase activity	GO:0003924_GTPase activity
GO:0003997	1	acyl-CoA oxidase activity	GO:0003997_acyl-CoA oxidase activity
GO:0004028	1	3-chloroallyl aldehyde dehydrogenase activity	GO:0004028_3-chloroallyl aldehyde dehydrogenase activity
GO:0004029	1	aldehyde dehydrogenase (NAD+) activity	GO:0004029_aldehyde dehydrogenase (NAD+) activity
GO:0004030	1	aldehyde dehydrogenase [NAD(P)+] activity	GO:0004030_aldehyde dehydrogenase [NAD(P)+] activity
GO:0004045	1	peptidyl-tRNA hydrolase activity	GO:0004045_peptidyl-tRNA hydrolase activity
GO:0004051	1	arachidonate 5-lipoxygenase activity	GO:0004051_arachidonate 5-lipoxygenase activity
GO:0004070	1	aspartate carbamoyltransferase activity	GO:0004070_aspartate carbamoyltransferase activity
GO:0004105	1	choline-phosphate cytidylyltransferase activity	GO:0004105_choline-phosphate cytidylyltransferase activity
GO:0004144	1	diacylglycerol O-acyltransferase activity	GO:0004144_diacylglycerol O-acyltransferase activity
GO:0004151	1	dihydroorotase activity	GO:0004151_dihydroorotase activity
GO:0004175	1	endopeptidase activity	GO:0004175_endopeptidase activity
GO:0004197	1	cysteine-type endopeptidase activity	GO:0004197_cysteine-type endopeptidase activity
GO:0004198	1	calcium-dependent cysteine-type endopeptidase activity	GO:0004198_calcium-dependent cysteine-type endopeptidase activity
GO:0004348	1	glucosylceramidase activity	GO:0004348_glucosylceramidase activity
GO:0004354	1	glutamate dehydrogenase (NADP+) activity	GO:0004354_glutamate dehydrogenase (NADP+) activity
GO:0004355	1	glutamate synthase (NADPH) activity	GO:0004355_glutamate synthase (NADPH) activity
GO:0004386	1	helicase activity	GO:0004386_helicase activity
GO:0004458	1	D-lactate dehydrogenase (cytochrome) activity	GO:0004458_D-lactate dehydrogenase (cytochrome) activity
GO:0004465	1	lipoprotein lipase activity	GO:0004465_lipoprotein lipase activity
GO:0004467	1	long-chain fatty acid-CoA ligase activity	GO:0004467_long-chain fatty acid-CoA ligase activity
GO:0004491	1	methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity	GO:0004491_methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity
GO:0004499	1	N,N-dimethylaniline monooxygenase activity	GO:0004499_N,N-dimethylaniline monooxygenase activity
GO:0004505	1	phenylalanine 4-monooxygenase activity	GO:0004505_phenylalanine 4-monooxygenase activity
GO:0004510	1	tryptophan 5-monooxygenase activity	GO:0004510_tryptophan 5-monooxygenase activity
GO:0004512	1	inositol-3-phosphate synthase activity	GO:0004512_inositol-3-phosphate synthase activity
GO:0004520	1	DNA endonuclease activity	GO:0004520_DNA endonuclease activity
GO:0004557	1	alpha-galactosidase activity	GO:0004557_alpha-galactosidase activity
GO:0004558	1	alpha-1,4-glucosidase activity	GO:0004558_alpha-1,4-glucosidase activity
GO:0004608	1	phosphatidylethanolamine N-methyltransferase activity	GO:0004608_phosphatidylethanolamine N-methyltransferase activity
GO:0004647	1	NA	GO:0004647_NA
GO:0004648	1	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	GO:0004648_O-phospho-L-serine:2-oxoglutarate aminotransferase activity
GO:0004653	1	polypeptide N-acetylgalactosaminyltransferase activity	GO:0004653_polypeptide N-acetylgalactosaminyltransferase activity
GO:0004745	1	all-trans-retinol dehydrogenase (NAD+) activity	GO:0004745_all-trans-retinol dehydrogenase (NAD+) activity
GO:0004753	1	saccharopine dehydrogenase activity	GO:0004753_saccharopine dehydrogenase activity
GO:0004768	1	stearoyl-CoA 9-desaturase activity	GO:0004768_stearoyl-CoA 9-desaturase activity
GO:0005112	1	Notch binding	GO:0005112_Notch binding
GO:0005201	1	extracellular matrix structural constituent	GO:0005201_extracellular matrix structural constituent
GO:0005215	1	transporter activity	GO:0005215_transporter activity
GO:0005242	1	inward rectifier potassium channel activity	GO:0005242_inward rectifier potassium channel activity
GO:0005249	1	voltage-gated potassium channel activity	GO:0005249_voltage-gated potassium channel activity
GO:0005261	1	monoatomic cation channel activity	GO:0005261_monoatomic cation channel activity
GO:0005262	1	calcium channel activity	GO:0005262_calcium channel activity
GO:0005267	1	potassium channel activity	GO:0005267_potassium channel activity
GO:0005319	1	lipid transporter activity	GO:0005319_lipid transporter activity
GO:0005366	1	myo-inositol:proton symporter activity	GO:0005366_myo-inositol:proton symporter activity
GO:0005384	1	manganese ion transmembrane transporter activity	GO:0005384_manganese ion transmembrane transporter activity
GO:0005385	1	zinc ion transmembrane transporter activity	GO:0005385_zinc ion transmembrane transporter activity
GO:0005432	1	calcium:sodium antiporter activity	GO:0005432_calcium:sodium antiporter activity
GO:0005436	1	sodium:phosphate symporter activity	GO:0005436_sodium:phosphate symporter activity
GO:0005504	1	fatty acid binding	GO:0005504_fatty acid binding
GO:0005516	1	calmodulin binding	GO:0005516_calmodulin binding
GO:0005542	1	folic acid binding	GO:0005542_folic acid binding
GO:0005543	1	phospholipid binding	GO:0005543_phospholipid binding
GO:0005604	1	basement membrane	GO:0005604_basement membrane
GO:0005641	1	nuclear envelope lumen	GO:0005641_nuclear envelope lumen
GO:0005642	1	annulate lamellae	GO:0005642_annulate lamellae
GO:0005643	1	nuclear pore	GO:0005643_nuclear pore
GO:0005719	1	NA	GO:0005719_NA
GO:0005741	1	mitochondrial outer membrane	GO:0005741_mitochondrial outer membrane
GO:0005743	1	mitochondrial inner membrane	GO:0005743_mitochondrial inner membrane
GO:0005762	1	mitochondrial large ribosomal subunit	GO:0005762_mitochondrial large ribosomal subunit
GO:0005768	1	endosome	GO:0005768_endosome
GO:0005777	1	peroxisome	GO:0005777_peroxisome
GO:0005778	1	peroxisomal membrane	GO:0005778_peroxisomal membrane
GO:0005802	1	trans-Golgi network	GO:0005802_trans-Golgi network
GO:0005811	1	lipid droplet	GO:0005811_lipid droplet
GO:0005813	1	centrosome	GO:0005813_centrosome
GO:0005814	1	centriole	GO:0005814_centriole
GO:0005903	1	brush border	GO:0005903_brush border
GO:0005913	1	NA	GO:0005913_NA
GO:0005925	1	focal adhesion	GO:0005925_focal adhesion
GO:0005930	1	axoneme	GO:0005930_axoneme
GO:0005938	1	cell cortex	GO:0005938_cell cortex
GO:0005951	1	carbamoyl-phosphate synthase complex	GO:0005951_carbamoyl-phosphate synthase complex
GO:0005956	1	protein kinase CK2 complex	GO:0005956_protein kinase CK2 complex
GO:0005977	1	glycogen metabolic process	GO:0005977_glycogen metabolic process
GO:0005981	1	regulation of glycogen catabolic process	GO:0005981_regulation of glycogen catabolic process
GO:0006021	1	inositol biosynthetic process	GO:0006021_inositol biosynthetic process
GO:0006066	1	alcohol metabolic process	GO:0006066_alcohol metabolic process
GO:0006068	1	ethanol catabolic process	GO:0006068_ethanol catabolic process
GO:0006094	1	gluconeogenesis	GO:0006094_gluconeogenesis
GO:0006107	1	oxaloacetate metabolic process	GO:0006107_oxaloacetate metabolic process
GO:0006111	1	regulation of gluconeogenesis	GO:0006111_regulation of gluconeogenesis
GO:0006210	1	thymine catabolic process	GO:0006210_thymine catabolic process
GO:0006284	1	base-excision repair	GO:0006284_base-excision repair
GO:0006285	1	base-excision repair, AP site formation	GO:0006285_base-excision repair, AP site formation
GO:0006334	1	nucleosome assembly	GO:0006334_nucleosome assembly
GO:0006366	1	transcription by RNA polymerase II	GO:0006366_transcription by RNA polymerase II
GO:0006412	1	translation	GO:0006412_translation
GO:0006468	1	protein phosphorylation	GO:0006468_protein phosphorylation
GO:0006511	1	ubiquitin-dependent protein catabolic process	GO:0006511_ubiquitin-dependent protein catabolic process
GO:0006526	1	L-arginine biosynthetic process	GO:0006526_L-arginine biosynthetic process
GO:0006534	1	cysteine metabolic process	GO:0006534_cysteine metabolic process
GO:0006536	1	glutamate metabolic process	GO:0006536_glutamate metabolic process
GO:0006544	1	glycine metabolic process	GO:0006544_glycine metabolic process
GO:0006548	1	L-histidine catabolic process	GO:0006548_L-histidine catabolic process
GO:0006559	1	L-phenylalanine catabolic process	GO:0006559_L-phenylalanine catabolic process
GO:0006563	1	L-serine metabolic process	GO:0006563_L-serine metabolic process
GO:0006571	1	L-tyrosine biosynthetic process	GO:0006571_L-tyrosine biosynthetic process
GO:0006573	1	valine metabolic process	GO:0006573_valine metabolic process
GO:0006574	1	L-valine catabolic process	GO:0006574_L-valine catabolic process
GO:0006629	1	lipid metabolic process	GO:0006629_lipid metabolic process
GO:0006680	1	glucosylceramide catabolic process	GO:0006680_glucosylceramide catabolic process
GO:0006691	1	leukotriene metabolic process	GO:0006691_leukotriene metabolic process
GO:0006699	1	bile acid biosynthetic process	GO:0006699_bile acid biosynthetic process
GO:0006707	1	cholesterol catabolic process	GO:0006707_cholesterol catabolic process
GO:0006726	1	eye pigment biosynthetic process	GO:0006726_eye pigment biosynthetic process
GO:0006730	1	one-carbon metabolic process	GO:0006730_one-carbon metabolic process
GO:0006749	1	glutathione metabolic process	GO:0006749_glutathione metabolic process
GO:0006805	1	xenobiotic metabolic process	GO:0006805_xenobiotic metabolic process
GO:0006811	1	monoatomic ion transport	GO:0006811_monoatomic ion transport
GO:0006813	1	potassium ion transport	GO:0006813_potassium ion transport
GO:0006817	1	phosphate ion transport	GO:0006817_phosphate ion transport
GO:0006826	1	iron ion transport	GO:0006826_iron ion transport
GO:0006829	1	zinc ion transport	GO:0006829_zinc ion transport
GO:0006851	1	mitochondrial calcium ion transmembrane transport	GO:0006851_mitochondrial calcium ion transmembrane transport
GO:0006882	1	intracellular zinc ion homeostasis	GO:0006882_intracellular zinc ion homeostasis
GO:0006895	1	Golgi to endosome transport	GO:0006895_Golgi to endosome transport
GO:0006915	1	apoptotic process	GO:0006915_apoptotic process
GO:0006954	1	inflammatory response	GO:0006954_inflammatory response
GO:0006975	1	NA	GO:0006975_NA
GO:0006979	1	response to oxidative stress	GO:0006979_response to oxidative stress
GO:0007005	1	mitochondrion organization	GO:0007005_mitochondrion organization
GO:0007018	1	microtubule-based movement	GO:0007018_microtubule-based movement
GO:0007155	1	cell adhesion	GO:0007155_cell adhesion
GO:0007156	1	homophilic cell-cell adhesion	GO:0007156_homophilic cell-cell adhesion
GO:0007157	1	heterophilic cell-cell adhesion	GO:0007157_heterophilic cell-cell adhesion
GO:0007158	1	neuron cell-cell adhesion	GO:0007158_neuron cell-cell adhesion
GO:0007179	1	transforming growth factor beta receptor signaling pathway	GO:0007179_transforming growth factor beta receptor signaling pathway
GO:0007220	1	Notch receptor processing	GO:0007220_Notch receptor processing
